Ko	gene	name	EC
K00282	gcvPA	glycine dehydrogenase subunit 1	[EC:1.4.4.2]
K00283	gcvPB	glycine dehydrogenase subunit 2	[EC:1.4.4.2]
K00284	E1.4.7.1	glutamate synthase (ferredoxin)	[EC:1.4.7.1]
K00285	dadA	D-amino-acid dehydrogenase	[EC:1.4.5.1]
K00286	proC	pyrroline-5-carboxylate reductase	[EC:1.5.1.2]
K00287	folA	dihydrofolate reductase	[EC:1.5.1.3]
K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	[EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	E1.5.1.6, FTHFD	formyltetrahydrofolate dehydrogenase	[EC:1.5.1.6]
K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming)	[EC:1.5.1.7]
K00293	LYS9	saccharopine dehydrogenase (NADP+, L-glutamate forming)	[EC:1.5.1.10]
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase	[EC:1.2.1.88]
K00295	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+)	[EC:1.5.1.15]
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH)	[EC:1.5.1.20]
K00301	E1.5.3.1	sarcosine oxidase	[EC:1.5.3.1]
K00302	soxA	sarcosine oxidase, subunit alpha	[EC:1.5.3.1]
K00303	soxB	sarcosine oxidase, subunit beta	[EC:1.5.3.1]
K00304	soxD	sarcosine oxidase, subunit delta	[EC:1.5.3.1]
K00305	soxG	sarcosine oxidase, subunit gamma	[EC:1.5.3.1]
K00306	PIPOX	sarcosine oxidase / L-pipecolate oxidase	[EC:1.5.3.1 1.5.3.7]
K00308	PAOX	N1-acetylpolyamine oxidase	[EC:1.5.3.13]
K00311	ETFDH	electron-transferring-flavoprotein dehydrogenase	[EC:1.5.5.1]
K00312	WNT3	wingless-type MMTV integration site family, member 3
K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase	[EC:1.5.5.-]
K00314	SARDH	sarcosine dehydrogenase	[EC:1.5.8.3]
K00315	DMGDH	dimethylglycine dehydrogenase	[EC:1.5.8.4]
K00316	spdH	spermidine dehydrogenase	[EC:1.5.99.6]
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase	[EC:1.5.8.1 1.5.8.2]
K00318	PRODH	proline dehydrogenase	[EC:1.5.-.-]
K00319	mtd	methylenetetrahydromethanopterin dehydrogenase	[EC:1.5.98.1]
K00320	mer	5,10-methylenetetrahydromethanopterin reductase	[EC:1.5.98.2]
K00322	sthA, udhA	NAD(P) transhydrogenase	[EC:1.6.1.1]
K00323	NNT	NAD(P) transhydrogenase	[EC:1.6.1.2]
K00324	pntA	NAD(P) transhydrogenase subunit alpha	[EC:1.6.1.2]
K00325	pntB	NAD(P) transhydrogenase subunit beta	[EC:1.6.1.2]
K00326	E1.6.2.2	cytochrome-b5 reductase	[EC:1.6.2.2]
K00327	POR	NADPH-ferrihemoprotein reductase	[EC:1.6.2.4]
K00329	E1.6.5.3	NADH dehydrogenase	[EC:1.6.5.3]
K00330	nuoA	NADH-quinone oxidoreductase subunit A	[EC:1.6.5.3]
K00331	nuoB	NADH-quinone oxidoreductase subunit B	[EC:1.6.5.3]
K00332	nuoC	NADH-quinone oxidoreductase subunit C	[EC:1.6.5.3]
K00333	nuoD	NADH-quinone oxidoreductase subunit D	[EC:1.6.5.3]
K00334	nuoE	NADH-quinone oxidoreductase subunit E	[EC:1.6.5.3]
K00335	nuoF	NADH-quinone oxidoreductase subunit F	[EC:1.6.5.3]
K00336	nuoG	NADH-quinone oxidoreductase subunit G	[EC:1.6.5.3]
K00337	nuoH	NADH-quinone oxidoreductase subunit H	[EC:1.6.5.3]
K00338	nuoI	NADH-quinone oxidoreductase subunit I	[EC:1.6.5.3]
K00339	nuoJ	NADH-quinone oxidoreductase subunit J	[EC:1.6.5.3]
K00340	nuoK	NADH-quinone oxidoreductase subunit K	[EC:1.6.5.3]
K00341	nuoL	NADH-quinone oxidoreductase subunit L	[EC:1.6.5.3]
K00342	nuoM	NADH-quinone oxidoreductase subunit M	[EC:1.6.5.3]
K00343	nuoN	NADH-quinone oxidoreductase subunit N	[EC:1.6.5.3]
K00344	qor, CRYZ	NADPH2:quinone reductase	[EC:1.6.5.5]
K00346	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A	[EC:1.6.5.8]
K00347	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B	[EC:1.6.5.8]
K00348	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C	[EC:1.6.5.8]
K00349	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D	[EC:1.6.5.8]
K00350	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E	[EC:1.6.5.8]
K00351	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F	[EC:1.6.5.8]
K00355	NQO1	NAD(P)H dehydrogenase (quinone)	[EC:1.6.5.2]
K00356	E1.6.99.3	NADH dehydrogenase	[EC:1.6.99.3]
K00357	QDPR	dihydropteridine reductase	[EC:1.5.1.34]
K00362	nirB	nitrite reductase (NADH) large subunit	[EC:1.7.1.15]
K00363	nirD	nitrite reductase (NADH) small subunit	[EC:1.7.1.15]
K00364	E1.7.1.7, guaC	GMP reductase	[EC:1.7.1.7]
K00365	uaZ	urate oxidase	[EC:1.7.3.3]
K00366	nirA	ferredoxin-nitrite reductase	[EC:1.7.7.1]
K00367	narB	ferredoxin-nitrate reductase	[EC:1.7.7.2]
K00368	nirK	nitrite reductase (NO-forming)	[EC:1.7.2.1]
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit	[EC:1.7.5.1 1.7.99.4]
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit	[EC:1.7.5.1 1.7.99.4]
K00372	nasA	assimilatory nitrate reductase catalytic subunit	[EC:1.7.99.4]
K00373	narJ, narW	nitrate reductase delta subunit
K00374	narI, narV	nitrate reductase gamma subunit	[EC:1.7.5.1 1.7.99.4]
K00375	K00375	GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ	nitrous-oxide reductase	[EC:1.7.2.4]
K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component	[EC:1.8.1.2]
K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component	[EC:1.8.1.2]
K00382	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase	[EC:1.8.1.4]
K00383	GSR, gor	glutathione reductase (NADPH)	[EC:1.8.1.7]
K00384	trxB	thioredoxin reductase (NADPH)	[EC:1.8.1.9]
K00387	SUOX	sulfite oxidase	[EC:1.8.3.1]
K00389	yidH	putative membrane protein
K00390	cysH	phosphoadenosine phosphosulfate reductase	[EC:1.8.4.8 1.8.4.10]
K00392	sir	sulfite reductase (ferredoxin)	[EC:1.8.7.1]
K00394	aprA	adenylylsulfate reductase, subunit A	[EC:1.8.99.2]
K00395	aprB	adenylylsulfate reductase, subunit B	[EC:1.8.99.2]
K00399	mcrA	methyl-coenzyme M reductase alpha subunit	[EC:2.8.4.1]
K00400	K00400	methyl coenzyme M reductase system, component A2
K00401	mcrB	methyl-coenzyme M reductase beta subunit	[EC:2.8.4.1]
K00402	mcrG	methyl-coenzyme M reductase gamma subunit	[EC:2.8.4.1]
K00404	ccoN	cytochrome c oxidase cbb3-type subunit I	[EC:1.9.3.1]
K00405	ccoO	cytochrome c oxidase cbb3-type subunit II
K00406	ccoP	cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ	cytochrome c oxidase cbb3-type subunit IV
K00408	WNT4	wingless-type MMTV integration site family, member 4
K00411	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit	[EC:1.10.2.2]
K00412	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00417	QCR7, UQCRB	ubiquinol-cytochrome c reductase subunit 7
K00419	QCR9, UCRC	ubiquinol-cytochrome c reductase subunit 9
K00425	cydA	cytochrome d ubiquinol oxidase subunit I	[EC:1.10.3.14]
K00426	cydB	cytochrome d ubiquinol oxidase subunit II	[EC:1.10.3.14]
K00427	lldP, lctP	L-lactate permease
K00428	E1.11.1.5	cytochrome c peroxidase	[EC:1.11.1.5]
K00430	E1.11.1.7	peroxidase	[EC:1.11.1.7]
K00432	gpx	glutathione peroxidase	[EC:1.11.1.9]
K00433	cpo	non-heme chloroperoxidase	[EC:1.11.1.10]
K00434	E1.11.1.11	L-ascorbate peroxidase	[EC:1.11.1.11]
K00436	hoxH	NAD-reducing hydrogenase large subunit	[EC:1.12.1.2]
K00440	frhA	coenzyme F420 hydrogenase subunit alpha	[EC:1.12.98.1]
K00441	frhB	coenzyme F420 hydrogenase subunit beta	[EC:1.12.98.1]
K00443	frhG	coenzyme F420 hydrogenase subunit gamma	[EC:1.12.98.1]
K00444	WNT5	wingless-type MMTV integration site family, member 5
K00446	dmpB, xylE	catechol 2,3-dioxygenase	[EC:1.13.11.2]
K00448	pcaG	protocatechuate 3,4-dioxygenase, alpha subunit	[EC:1.13.11.3]
K00449	pcaH	protocatechuate 3,4-dioxygenase, beta subunit	[EC:1.13.11.3]
K00450	E1.13.11.4	gentisate 1,2-dioxygenase	[EC:1.13.11.4]
K00451	HGD, hmgA	homogentisate 1,2-dioxygenase	[EC:1.13.11.5]
K00452	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	[EC:1.13.11.6]
K00453	E1.13.11.11, TDO2	tryptophan 2,3-dioxygenase	[EC:1.13.11.11]
K00456	CDO1	cysteine dioxygenase	[EC:1.13.11.20]
K00457	HPD, hppD	4-hydroxyphenylpyruvate dioxygenase	[EC:1.13.11.27]
K00459	ncd2, npd	nitronate monooxygenase	[EC:1.13.12.16]
K00461	ALOX5	arachidonate 5-lipoxygenase	[EC:1.13.11.34]
K00463	IDO, INDO	indoleamine 2,3-dioxygenase	[EC:1.13.11.52]
K00464	diox1	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase	[EC:1.13.11.75]
K00466	E1.13.12.3	tryptophan 2-monooxygenase	[EC:1.13.12.3]
K00469	MIOX	inositol oxygenase	[EC:1.13.99.1]
K00471	E1.14.11.1	gamma-butyrobetaine dioxygenase	[EC:1.14.11.1]
K00472	P4HA	prolyl 4-hydroxylase	[EC:1.14.11.2]
K00474	TMLHE	trimethyllysine dioxygenase	[EC:1.14.11.8]
K00476	ASPH	aspartate beta-hydroxylase	[EC:1.14.11.16]
K00477	PHYH	phytanoyl-CoA hydroxylase	[EC:1.14.11.18]
K00479	K00479	Rieske 2Fe-2S family protein
K00480	E1.14.13.1	salicylate hydroxylase	[EC:1.14.13.1]
K00481	pobA	p-hydroxybenzoate 3-monooxygenase	[EC:1.14.13.2]
K00483	hpaB	4-hydroxyphenylacetate 3-monooxygenase	[EC:1.14.14.9]
K00485	FMO	dimethylaniline monooxygenase (N-oxide forming)	[EC:1.14.13.8]
